ID,Year_Birth,Age,Age_Group,Education,Marital_Status,Income,Income_Group,Kidhome,Teenhome,Total_Kids,Has_Kids,No_Kids,Dt_Customer,Customer_Tenure,Tenure_Group,Recency,Recency_Group,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Spending,Dominant_Category,Spending_Group,NumDealsPurchases,Deal_Purchase_Category,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Total_Purchases,Dominant_Channel,NumWebVisitsMonth,Visit_Frequency_Category,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Total_Campaign_Acceptances,Is_Campaign_Responder,Complain
1994,1983,31,Millennials,Bachelor,Married,51373.0,Medium,1,0,1,1,0,2013-11-15,226,0-1 Years,11,<30 Days,5,5,6,0,2,1,19,MntMeatProducts,Low,1,No/Low,1,0,2,3,NumStorePurchases,7,High,0,0,0,0,0,0,0,0,0
387,1976,38,Millennials,High School,Married,7500.0,Low,0,0,0,0,1,2012-11-13,593,1-2 Years,59,30–90 Days,6,16,11,11,1,16,61,MntFruits,Low,1,No/Low,2,0,3,5,NumStorePurchases,8,High,0,0,0,0,0,0,0,0,0
2125,1959,55,Boomers+,Bachelor,Divorced,63033.0,Medium,0,0,0,0,1,2013-11-15,226,0-1 Years,82,30–90 Days,194,61,480,225,112,30,1102,MntMeatProducts,Medium,1,No/Low,3,4,8,15,NumStorePurchases,2,Medium,0,0,0,0,0,0,0,0,0
8180,1952,62,Boomers+,Master,Divorced,59354.0,Medium,1,1,2,1,0,2013-11-15,226,0-1 Years,53,30–90 Days,233,2,53,3,5,14,310,MntWines,Low,3,Medium,6,1,5,12,NumWebPurchases,6,High,0,0,0,0,0,0,0,0,0
2569,1987,27,Millennials,Bachelor,Married,17323.0,Low,0,0,0,0,1,2012-10-10,627,1-2 Years,38,30–90 Days,3,14,17,6,1,5,46,MntMeatProducts,Low,1,No/Low,1,0,3,4,NumStorePurchases,8,High,0,0,0,0,0,0,0,0,0
2114,1946,68,Boomers+,Doctoral,Single,82800.0,High,0,0,0,0,1,2012-11-24,582,1-2 Years,23,<30 Days,1006,22,115,59,68,45,1315,MntWines,Medium,1,No/Low,7,6,12,25,NumStorePurchases,3,Medium,1,0,0,0,1,1,3,1,0
9736,1980,34,Millennials,Bachelor,Married,41850.0,Medium,1,1,2,1,0,2012-12-24,552,1-2 Years,51,30–90 Days,53,5,19,2,13,4,96,MntWines,Low,3,Medium,3,0,3,6,NumWebPurchases,8,High,0,0,0,0,0,0,0,0,0
4939,1946,68,Boomers+,Bachelor,Married,37760.0,Low,0,0,0,0,1,2012-08-31,667,1-2 Years,20,<30 Days,84,5,38,150,12,28,317,MntFishProducts,Low,2,No/Low,4,1,6,11,NumStorePurchases,7,High,0,0,0,0,0,0,0,0,0
6565,1949,65,Boomers+,Master,Married,76995.0,Medium,0,1,1,1,0,2013-03-28,458,1-2 Years,91,>90 Days,1012,80,498,0,16,176,1782,MntWines,High,2,No/Low,11,4,9,24,NumWebPurchases,5,Medium,1,0,0,0,0,0,1,1,0
2278,1985,29,Millennials,Master,Single,33812.0,Low,1,0,1,1,0,2012-11-03,603,1-2 Years,86,30–90 Days,4,17,19,30,24,39,133,MntGoldProds,Low,2,No/Low,2,1,3,6,NumStorePurchases,6,High,0,0,0,0,0,0,0,0,0
9360,1982,32,Millennials,Bachelor,Married,37040.0,Low,0,0,0,0,1,2012-08-08,690,1-2 Years,41,30–90 Days,86,2,73,69,38,48,316,MntWines,Low,1,No/Low,4,2,5,11,NumStorePurchases,8,High,0,0,0,0,0,0,0,0,0
5376,1979,35,Millennials,Bachelor,Married,2447.0,Low,1,0,1,1,0,2013-01-06,539,1-2 Years,42,30–90 Days,1,1,1725,1,1,1,1730,MntMeatProducts,High,15,High,0,28,0,28,NumCatalogPurchases,1,Low,0,0,0,0,0,0,0,0,0
1993,1949,65,Boomers+,Doctoral,Married,58607.0,Medium,0,1,1,1,0,2012-12-23,553,1-2 Years,63,30–90 Days,867,0,86,0,0,19,972,MntWines,Low,3,Medium,2,3,9,14,NumStorePurchases,8,High,0,0,0,1,0,0,1,1,0
4047,1954,60,Boomers+,Doctoral,Married,65324.0,Medium,0,1,1,1,0,2014-01-11,169,0-1 Years,0,<30 Days,384,0,102,21,32,5,544,MntWines,Low,3,Medium,6,2,9,17,NumStorePurchases,4,Medium,0,0,0,0,0,0,0,0,0
1409,1951,63,Boomers+,Bachelor,Married,40689.0,Medium,0,1,1,1,0,2013-03-18,468,1-2 Years,69,30–90 Days,270,3,27,39,6,99,444,MntWines,Low,7,High,7,1,5,13,NumWebPurchases,8,High,0,0,0,0,0,0,0,0,0
7892,1969,45,Gen X,Bachelor,Single,18589.0,Low,0,0,0,0,1,2013-01-02,543,1-2 Years,89,30–90 Days,6,4,25,15,12,13,75,MntMeatProducts,Low,2,No/Low,2,1,3,6,NumStorePurchases,7,High,0,0,0,0,0,0,0,0,0
2404,1976,38,Millennials,Bachelor,Married,53359.0,Medium,1,1,2,1,0,2013-05-27,398,1-2 Years,4,<30 Days,173,4,30,3,6,41,257,MntWines,Low,4,Medium,5,1,4,10,NumWebPurchases,7,High,0,0,0,0,0,0,0,0,0
5255,1986,28,Millennials,Bachelor,Single,51373.0,Medium,1,0,1,1,0,2013-02-20,494,1-2 Years,19,<30 Days,5,1,3,3,263,362,637,MntGoldProds,Low,0,No/Low,27,0,0,27,NumWebPurchases,1,Low,0,0,0,0,0,0,0,0,0
9422,1989,25,Millennials,Bachelor,Married,38360.0,Low,1,0,1,1,0,2013-05-31,394,1-2 Years,26,<30 Days,36,2,42,20,21,10,131,MntMeatProducts,Low,2,No/Low,2,1,4,7,NumStorePurchases,3,Medium,0,0,0,0,0,0,0,0,0
1966,1965,49,Gen X,Doctoral,Married,84618.0,High,0,0,0,0,1,2013-11-22,219,0-1 Years,96,>90 Days,684,100,801,21,66,0,1672,MntMeatProducts,High,1,No/Low,6,9,10,25,NumStorePurchases,2,Medium,0,0,0,0,1,0,1,1,0
6864,1989,25,Millennials,Master,Divorced,10979.0,Low,0,0,0,0,1,2014-05-22,38,0-1 Years,34,30–90 Days,8,4,10,2,2,4,30,MntMeatProducts,Low,2,No/Low,3,0,3,6,NumWebPurchases,5,Medium,0,0,0,0,0,0,0,0,0
3033,1963,51,Gen X,Master,Married,38620.0,Low,0,0,0,0,1,2013-05-11,414,1-2 Years,56,30–90 Days,112,17,44,34,22,89,318,MntWines,Low,1,No/Low,2,5,3,10,NumCatalogPurchases,3,Medium,0,0,0,0,0,0,0,0,0
5710,1970,44,Gen X,Bachelor,Married,40548.0,Medium,0,1,1,1,0,2012-10-10,627,1-2 Years,31,30–90 Days,110,0,5,2,0,3,120,MntWines,Low,2,No/Low,2,1,4,7,NumStorePurchases,5,Medium,0,0,0,1,0,0,1,1,0
7373,1952,62,Boomers+,Doctoral,Divorced,46610.0,Medium,0,2,2,1,0,2012-10-29,608,1-2 Years,8,<30 Days,96,12,96,33,22,43,302,MntWines,Low,6,High,4,1,6,11,NumStorePurchases,6,High,0,0,0,0,0,1,1,1,0
8755,1946,68,Boomers+,Master,Married,68657.0,Medium,0,0,0,0,1,2013-02-20,494,1-2 Years,4,<30 Days,482,34,471,119,68,22,1196,MntWines,Medium,1,No/Low,3,5,9,17,NumStorePurchases,7,High,0,0,0,0,0,0,0,0,0
10738,1951,63,Boomers+,Master,Single,49389.0,Medium,1,1,2,1,0,2013-08-29,304,0-1 Years,55,30–90 Days,40,0,19,2,1,3,65,MntWines,Low,1,No/Low,2,0,3,5,NumStorePurchases,7,High,0,0,0,0,0,0,0,0,0
4339,1970,44,Gen X,Doctoral,Married,67353.0,Medium,0,1,1,1,0,2013-12-31,180,0-1 Years,37,30–90 Days,702,17,151,0,8,35,913,MntWines,Low,5,Medium,5,6,12,23,NumStorePurchases,2,Medium,0,0,0,0,0,0,0,0,0
10755,1976,38,Millennials,Master,Married,23718.0,Low,1,0,1,1,0,2013-09-02,300,0-1 Years,76,30–90 Days,6,3,14,15,7,36,81,MntGoldProds,Low,3,Medium,3,1,2,6,NumWebPurchases,7,High,0,0,0,0,0,0,0,0,0
8595,1973,41,Gen X,Bachelor,Divorced,42429.0,Medium,0,1,1,1,0,2014-02-11,138,0-1 Years,99,>90 Days,55,0,6,2,0,4,67,MntWines,Low,2,No/Low,1,1,3,5,NumStorePurchases,5,Medium,0,0,0,0,0,0,0,0,0
2968,1943,71,Boomers+,Doctoral,Divorced,48948.0,Medium,0,0,0,0,1,2013-02-01,513,1-2 Years,53,30–90 Days,437,8,206,160,49,42,902,MntWines,Low,2,No/Low,7,10,5,22,NumCatalogPurchases,6,High,0,0,1,0,0,1,2,1,0
8601,1980,34,Millennials,Bachelor,Married,80011.0,High,0,1,1,1,0,2013-04-29,426,1-2 Years,3,<30 Days,421,76,536,82,178,102,1395,MntMeatProducts,Medium,2,No/Low,8,6,5,19,NumWebPurchases,4,Medium,0,0,0,0,0,0,0,0,0
503,1985,29,Millennials,Master,Married,20559.0,Low,1,0,1,1,0,2013-03-12,474,1-2 Years,88,30–90 Days,13,1,29,3,0,7,53,MntMeatProducts,Low,2,No/Low,2,0,3,5,NumStorePurchases,8,High,0,0,0,0,0,0,0,0,0
8430,1957,57,Boomers+,Bachelor,Married,21994.0,Low,0,1,1,1,0,2012-12-24,552,1-2 Years,4,<30 Days,9,0,6,3,1,3,22,MntWines,Low,1,No/Low,0,0,3,3,NumStorePurchases,5,Medium,0,0,0,0,0,0,0,0,0
7281,1959,55,Boomers+,Doctoral,Single,51373.0,Medium,0,0,0,0,1,2013-11-05,236,0-1 Years,80,30–90 Days,81,11,50,3,2,39,186,MntWines,Low,1,No/Low,1,3,4,8,NumStorePurchases,2,Medium,0,0,0,0,0,0,0,0,0
2139,1975,39,Millennials,Master,Married,7500.0,Low,1,0,1,1,0,2013-10-02,270,0-1 Years,19,<30 Days,3,1,10,3,2,12,31,MntGoldProds,Low,3,Medium,2,0,3,5,NumStorePurchases,5,Medium,0,0,0,0,0,0,0,0,0
1371,1976,38,Millennials,Bachelor,Single,79941.0,Medium,0,0,0,0,1,2014-06-28,1,0-1 Years,72,30–90 Days,123,164,266,227,30,174,984,MntMeatProducts,Low,1,No/Low,2,4,9,15,NumStorePurchases,1,Low,0,0,0,0,0,0,0,0,0
9909,1996,18,Gen Z-,Master,Married,7500.0,Low,0,0,0,0,1,2012-11-09,597,1-2 Years,24,<30 Days,3,18,14,15,22,50,122,MntGoldProds,Low,3,Medium,3,1,3,7,NumWebPurchases,9,High,0,0,0,0,0,1,1,1,0
7286,1968,46,Gen X,Bachelor,Married,41728.0,Medium,1,0,1,1,0,2013-05-24,401,1-2 Years,92,>90 Days,13,6,15,3,5,13,55,MntMeatProducts,Low,1,No/Low,2,0,2,4,NumWebPurchases,10,High,0,0,0,0,0,0,0,0,0
7244,1951,63,Boomers+,Bachelor,Single,51373.0,Medium,2,1,3,1,0,2014-01-01,179,0-1 Years,96,>90 Days,48,5,48,6,10,7,124,MntWines,Low,3,Medium,2,1,4,7,NumStorePurchases,6,High,0,0,0,0,0,0,0,0,0
6566,1954,60,Boomers+,Doctoral,Married,72550.0,Medium,1,1,2,1,0,2012-11-08,598,1-2 Years,39,30–90 Days,826,50,317,50,38,38,1319,MntWines,Medium,9,High,5,2,12,19,NumStorePurchases,8,High,0,0,0,0,0,0,0,0,0
8614,1957,57,Boomers+,Bachelor,Divorced,65486.0,Medium,0,1,1,1,0,2014-05-12,48,0-1 Years,29,<30 Days,245,19,125,37,67,14,507,MntWines,Low,1,No/Low,4,2,10,16,NumStorePurchases,2,Medium,0,0,0,0,0,0,0,0,0
4114,1964,50,Gen X,Master,Married,79143.0,Medium,0,0,0,0,1,2012-08-11,687,1-2 Years,2,<30 Days,650,37,780,27,167,32,1693,MntMeatProducts,High,1,No/Low,6,9,13,28,NumStorePurchases,3,Medium,0,0,0,0,0,0,0,0,0
1331,1977,37,Millennials,Bachelor,Single,35790.0,Low,1,0,1,1,0,2013-01-02,543,1-2 Years,54,30–90 Days,12,6,20,30,1,3,72,MntFishProducts,Low,2,No/Low,2,0,3,5,NumStorePurchases,7,High,0,0,0,0,0,0,0,0,0
2225,1977,37,Millennials,Bachelor,Divorced,82582.0,High,0,0,0,0,1,2014-06-07,22,0-1 Years,54,30–90 Days,510,120,550,156,40,241,1617,MntMeatProducts,High,1,No/Low,4,9,7,20,NumCatalogPurchases,1,Low,1,0,1,0,0,1,3,1,0
9381,1978,36,Millennials,Bachelor,Married,66373.0,Medium,1,1,2,1,0,2013-06-12,382,1-2 Years,57,30–90 Days,328,9,124,12,24,109,606,MntWines,Low,7,High,4,2,10,16,NumStorePurchases,3,Medium,0,0,0,0,0,0,0,0,0
6260,1955,59,Boomers+,Master,Married,82384.0,High,0,0,0,0,1,2012-11-19,587,1-2 Years,55,30–90 Days,984,51,432,180,120,190,1957,MntWines,High,1,No/Low,3,10,13,26,NumStorePurchases,1,Low,0,0,0,0,1,1,2,1,0
10383,1966,48,Gen X,Bachelor,Divorced,70287.0,Medium,0,0,0,0,1,2013-04-02,453,1-2 Years,30,<30 Days,295,35,482,121,120,40,1093,MntMeatProducts,Medium,1,No/Low,5,5,10,20,NumStorePurchases,3,Medium,0,0,0,0,0,1,1,1,0
7437,1988,26,Millennials,Bachelor,Single,27938.0,Low,1,0,1,1,0,2014-04-28,62,0-1 Years,31,30–90 Days,13,0,8,2,1,5,29,MntWines,Low,1,No/Low,1,0,4,5,NumStorePurchases,3,Medium,0,0,0,0,0,0,0,0,0
8557,1982,32,Millennials,Bachelor,Single,51373.0,Medium,1,0,1,1,0,2013-06-17,377,1-2 Years,57,30–90 Days,11,3,22,2,2,6,46,MntMeatProducts,Low,2,No/Low,2,0,3,5,NumStorePurchases,6,High,0,0,0,0,0,0,0,0,0
8375,1968,46,Gen X,Doctoral,Married,55954.0,Medium,0,1,1,1,0,2014-03-03,118,0-1 Years,63,30–90 Days,447,0,28,0,0,43,518,MntWines,Low,3,Medium,8,2,6,16,NumWebPurchases,7,High,0,0,0,0,0,0,0,0,0
6853,1982,32,Millennials,Master,Single,75777.0,Medium,0,0,0,0,1,2013-07-04,360,0-1 Years,12,<30 Days,712,26,538,69,13,80,1438,MntWines,Medium,1,No/Low,3,6,11,20,NumStorePurchases,1,Low,0,0,0,1,1,1,3,1,0
3076,1975,39,Millennials,Bachelor,Married,66653.0,Medium,1,1,2,1,0,2012-09-07,660,1-2 Years,18,<30 Days,452,18,102,16,18,6,612,MntWines,Low,4,Medium,4,2,12,18,NumStorePurchases,3,Medium,0,0,0,0,0,0,0,0,0
1012,1952,62,Boomers+,Bachelor,Single,61823.0,Medium,0,1,1,1,0,2013-02-18,496,1-2 Years,26,<30 Days,523,7,134,37,14,169,884,MntWines,Low,4,Medium,8,2,10,20,NumStorePurchases,7,High,0,0,0,0,0,0,0,0,0
6518,1951,63,Boomers+,Doctoral,Divorced,67680.0,Medium,0,1,1,1,0,2013-06-11,383,1-2 Years,8,<30 Days,546,0,48,0,6,6,606,MntWines,Low,1,No/Low,7,3,8,18,NumStorePurchases,5,Medium,0,0,0,0,0,0,0,0,0
4137,1948,66,Boomers+,Bachelor,Married,70666.0,Medium,0,0,0,0,1,2013-12-06,205,0-1 Years,29,<30 Days,398,40,367,119,122,30,1076,MntWines,Medium,1,No/Low,7,4,4,15,NumWebPurchases,4,Medium,0,0,0,0,0,0,0,0,0
8082,1971,43,Gen X,Bachelor,Married,25721.0,Low,1,0,1,1,0,2013-05-21,404,1-2 Years,75,30–90 Days,1,3,6,3,6,15,34,MntGoldProds,Low,1,No/Low,1,1,2,4,NumStorePurchases,7,High,0,0,0,0,0,1,1,1,0
1386,1967,47,Gen X,Bachelor,Married,32474.0,Low,1,1,2,1,0,2014-05-11,49,0-1 Years,0,<30 Days,10,0,1,0,0,0,11,MntWines,Low,1,No/Low,1,0,2,3,NumStorePurchases,7,High,0,0,0,0,0,0,0,0,0
9369,1979,35,Millennials,Master,Single,88194.0,High,0,1,1,1,0,2014-03-19,102,0-1 Years,19,<30 Days,688,14,309,201,24,38,1274,MntWines,Medium,1,No/Low,11,10,10,31,NumWebPurchases,5,Medium,1,0,1,0,0,1,3,1,0
4477,1958,56,Boomers+,Bachelor,Married,69096.0,Medium,0,1,1,1,0,2013-09-27,275,0-1 Years,4,<30 Days,247,49,159,7,82,109,653,MntWines,Low,1,No/Low,5,2,10,17,NumStorePurchases,4,Medium,0,0,0,0,0,0,0,0,0
1357,1970,44,Gen X,Bachelor,Married,74854.0,Medium,1,2,3,1,0,2013-04-08,447,1-2 Years,90,30–90 Days,856,59,487,58,29,73,1562,MntWines,High,7,High,2,5,5,12,NumCatalogPurchases,5,Medium,0,0,0,0,0,0,0,0,0
1402,1954,60,Boomers+,Master,Married,66991.0,Medium,0,0,0,0,1,2012-09-11,656,1-2 Years,1,<30 Days,496,36,460,189,60,12,1253,MntWines,Medium,3,Medium,4,8,6,18,NumCatalogPurchases,3,Medium,0,0,0,0,0,0,0,0,0
10629,1973,41,Gen X,Master,Married,51373.0,Medium,1,0,1,1,0,2012-09-14,653,1-2 Years,25,<30 Days,25,3,43,17,4,17,109,MntMeatProducts,Low,3,Medium,3,0,3,6,NumWebPurchases,8,High,0,0,0,0,0,0,0,0,0
6312,1959,55,Boomers+,Bachelor,Married,65031.0,Medium,0,1,1,1,0,2013-03-17,469,1-2 Years,29,<30 Days,258,107,291,84,37,86,863,MntMeatProducts,Low,4,Medium,10,3,13,26,NumStorePurchases,7,High,0,0,0,0,0,0,0,0,0
8132,1975,39,Millennials,Doctoral,Married,60631.0,Medium,1,1,2,1,0,2013-04-05,450,1-2 Years,88,30–90 Days,565,6,65,0,6,19,661,MntWines,Low,5,Medium,9,2,8,19,NumWebPurchases,7,High,0,0,0,1,0,0,1,1,0
1050,1952,62,Boomers+,Bachelor,Married,28332.0,Low,0,0,0,0,1,2014-04-30,60,0-1 Years,58,30–90 Days,14,10,13,4,15,9,65,MntSweetProducts,Low,1,No/Low,2,1,4,7,NumStorePurchases,2,Medium,0,0,0,0,0,0,0,0,0
5846,1977,37,Millennials,Bachelor,Divorced,40246.0,Medium,1,0,1,1,0,2012-12-19,557,1-2 Years,68,30–90 Days,2,1,6,2,1,1,13,MntMeatProducts,Low,1,No/Low,1,0,2,3,NumStorePurchases,6,High,0,0,0,0,0,0,0,0,0
1859,1972,42,Gen X,Master,Married,75251.0,Medium,0,0,0,0,1,2012-08-27,671,1-2 Years,34,30–90 Days,721,111,925,97,18,18,1890,MntMeatProducts,High,1,No/Low,7,6,5,18,NumWebPurchases,5,Medium,0,0,0,0,0,1,1,1,0
7503,1976,38,Millennials,Bachelor,Single,75825.0,Medium,0,0,0,0,1,2012-10-12,625,1-2 Years,40,30–90 Days,1032,105,779,137,105,51,2209,MntWines,High,0,No/Low,5,8,9,22,NumStorePurchases,4,Medium,0,0,1,0,0,1,2,1,0
10401,1976,38,Millennials,Master,Married,26326.0,Low,0,0,0,0,1,2013-09-04,298,0-1 Years,12,<30 Days,1,0,5,0,3,9,18,MntGoldProds,Low,1,No/Low,0,0,3,3,NumStorePurchases,3,Medium,0,0,0,0,0,0,0,0,1
1618,1965,49,Gen X,Bachelor,Married,56046.0,Medium,0,0,0,0,1,2013-01-02,543,1-2 Years,9,<30 Days,577,0,64,0,0,51,692,MntWines,Low,2,No/Low,10,1,8,19,NumWebPurchases,8,High,0,0,1,0,0,1,2,1,0
3332,1985,29,Millennials,Bachelor,Single,29760.0,Low,1,0,1,1,0,2012-08-29,669,1-2 Years,87,30–90 Days,64,4,68,7,5,17,165,MntMeatProducts,Low,4,Medium,3,1,4,8,NumStorePurchases,8,High,0,0,0,0,0,0,0,0,0
2261,1969,45,Gen X,Bachelor,Married,26304.0,Low,1,0,1,1,0,2013-06-23,371,1-2 Years,5,<30 Days,4,1,5,2,0,4,16,MntMeatProducts,Low,1,No/Low,1,0,2,3,NumStorePurchases,7,High,0,0,0,0,0,0,0,0,0
5346,1973,41,Gen X,Master,Married,23559.0,Low,1,0,1,1,0,2013-07-03,361,0-1 Years,87,30–90 Days,25,5,19,7,0,23,79,MntWines,Low,3,Medium,3,0,3,6,NumWebPurchases,7,High,0,0,0,0,0,0,0,0,0
4119,1963,51,Gen X,Master,Married,38620.0,Low,0,0,0,0,1,2013-05-11,414,1-2 Years,56,30–90 Days,112,17,44,34,22,89,318,MntWines,Low,1,No/Low,2,5,3,10,NumCatalogPurchases,3,Medium,0,0,0,0,0,0,0,0,0
535,1987,27,Millennials,Bachelor,Divorced,81361.0,High,0,0,0,0,1,2014-02-25,124,0-1 Years,18,<30 Days,163,23,424,27,65,76,778,MntMeatProducts,Low,1,No/Low,3,10,13,26,NumStorePurchases,1,Low,0,0,0,0,0,0,0,0,0
5268,1960,54,Gen X,Bachelor,Married,29440.0,Low,1,1,2,1,0,2013-08-11,322,0-1 Years,95,>90 Days,17,8,14,10,4,3,56,MntWines,Low,2,No/Low,1,0,4,5,NumStorePurchases,7,High,0,0,0,0,0,0,0,0,0
273,1970,44,Gen X,Master,Married,36138.0,Low,1,1,2,1,0,2013-07-16,348,0-1 Years,48,30–90 Days,130,0,16,0,0,5,151,MntWines,Low,5,Medium,3,1,4,8,NumStorePurchases,7,High,0,0,0,1,0,0,1,1,0
4452,1957,57,Boomers+,Bachelor,Single,50388.0,Medium,0,1,1,1,0,2014-05-28,32,0-1 Years,3,<30 Days,292,6,37,0,3,34,372,MntWines,Low,4,Medium,6,1,6,13,NumWebPurchases,7,High,1,0,0,1,0,1,3,1,0
8504,1973,41,Gen X,Bachelor,Married,79593.0,Medium,0,0,0,0,1,2014-05-12,48,0-1 Years,70,30–90 Days,350,60,568,110,133,145,1366,MntMeatProducts,Medium,1,No/Low,5,6,7,18,NumStorePurchases,2,Medium,0,0,0,0,1,0,1,1,0
771,1967,47,Gen X,Bachelor,Married,54178.0,Medium,0,1,1,1,0,2014-01-21,159,0-1 Years,79,30–90 Days,135,9,39,4,0,7,194,MntWines,Low,1,No/Low,2,2,5,9,NumStorePurchases,2,Medium,0,0,0,0,0,0,0,0,0
8996,1957,57,Boomers+,Doctoral,Married,51373.0,Medium,2,1,3,1,0,2012-11-19,587,1-2 Years,4,<30 Days,230,42,192,49,37,53,603,MntWines,Low,12,High,7,2,8,17,NumStorePurchases,9,High,0,0,0,0,0,0,0,0,0
9235,1957,57,Boomers+,Bachelor,Single,51373.0,Medium,1,1,2,1,0,2014-05-27,33,0-1 Years,45,30–90 Days,7,0,8,2,0,1,18,MntMeatProducts,Low,1,No/Low,1,0,2,3,NumStorePurchases,7,High,0,0,0,0,0,0,0,0,0
5798,1973,41,Gen X,Master,Married,51373.0,Medium,0,0,0,0,1,2013-11-23,218,0-1 Years,87,30–90 Days,445,37,359,98,28,18,985,MntWines,Low,1,No/Low,2,4,8,14,NumStorePurchases,1,Low,0,0,0,0,0,0,0,0,0
11178,1972,42,Gen X,Master,Single,42394.0,Medium,1,0,1,1,0,2014-03-23,98,0-1 Years,69,30–90 Days,15,2,10,0,1,4,32,MntWines,Low,1,No/Low,1,0,3,4,NumStorePurchases,7,High,0,0,0,0,0,0,0,0,0
2230,1970,44,Gen X,Doctoral,Married,23626.0,Low,1,0,1,1,0,2014-05-24,36,0-1 Years,84,30–90 Days,27,2,14,0,0,0,43,MntWines,Low,3,Medium,3,1,3,7,NumWebPurchases,5,Medium,0,0,0,0,0,0,0,0,0
7516,1983,31,Millennials,Bachelor,Married,30096.0,Low,1,0,1,1,0,2014-05-22,38,0-1 Years,30,<30 Days,5,3,11,12,5,9,45,MntFishProducts,Low,1,No/Low,2,0,3,5,NumStorePurchases,6,High,0,0,0,0,0,0,0,0,0
7247,1960,54,Gen X,Bachelor,Divorced,47916.0,Medium,0,1,1,1,0,2012-11-22,584,1-2 Years,72,30–90 Days,505,0,26,0,0,75,606,MntWines,Low,5,Medium,7,4,6,17,NumWebPurchases,6,High,0,0,0,1,0,0,1,1,0
11100,1972,42,Gen X,Bachelor,Divorced,51813.0,Medium,1,1,2,1,0,2013-04-11,444,1-2 Years,37,30–90 Days,51,2,7,0,1,2,63,MntWines,Low,2,No/Low,2,0,3,5,NumStorePurchases,7,High,0,0,0,0,0,0,0,0,0
